Date,Open,High,Low,Close,Volume
01/26/2026,"445.00","445.04","434.28","435.20","49,397,422"
01/23/2026,"447.43","452.43","444.04","449.06","56,771,359"
01/22/2026,"435.16","449.50","432.63","449.36","71,546,727"
01/21/2026,"421.66","438.20","419.62","431.44","68,123,992"
01/20/2026,"429.36","430.73","417.44","419.25","63,187,340"
01/16/2026,"439.50","447.25","435.26","437.50","60,220,551"
01/15/2026,"441.13","445.36","437.65","438.57","49,465,809"
01/14/2026,"442.81","443.91","434.22","439.20","57,259,500"
01/13/2026,"450.20","451.81","443.95","447.20","53,719,207"
01/12/2026,"441.23","454.30","438.00","448.96","61,649,633"
01/09/2026,"435.95","449.05","430.39","445.01","67,331,453"
01/08/2026,"427.89","436.89","424.37","435.80","57,041,090"
01/07/2026,"435.90","438.37","431.29","431.41","59,828,793"
01/06/2026,"446.38","448.25","428.78","432.96","89,093,758"
01/05/2026,"447.99","457.55","444.57","451.67","67,940,844"
01/02/2026,"457.80","458.34","435.30","438.07","85,535,406"
12/31/2025,"456.10","456.55","449.30","449.72","49,077,961"
12/30/2025,"461.09","463.12","453.83","454.43","59,238,461"
12/29/2025,"469.00","469.40","459.00","459.64","66,263,031"
